row_id,source_activity_id,source_matches,issues
ACT-0122,28328279,True,
ACT-0123,28328288,True,
ACT-0124,28328306,True,
ACT-0125,28328315,True,
ACT-0126,28328324,True,
ACT-0127,1142480,True,
ACT-0128,1142488,True,
ACT-0129,1143809,True,
ACT-0130,1143811,True,
ACT-0131,1145032,True,
ACT-0132,1145034,True,
ACT-0133,1145036,True,
ACT-0134,1145044,True,
ACT-0135,1146499,True,
ACT-0136,1146501,True,
ACT-0137,1149045,True,
ACT-0138,1150272,True,
ACT-0139,1150274,True,
ACT-0140,1150276,True,
ACT-0141,1150278,True,
ACT-0142,1151481,True,
ACT-0143,1152636,True,
ACT-0144,1152638,True,
ACT-0145,1152640,True,
ACT-0146,1152642,True,
ACT-0147,1152644,True,
ACT-0148,1152646,True,
ACT-0149,1153932,True,
ACT-0150,1153934,True,
ACT-0151,1153936,True,
ACT-0152,1155249,True,
ACT-0153,1155251,True,
ACT-0154,1155253,True,
ACT-0155,1155255,True,
ACT-0156,1156654,True,
ACT-0157,1156656,True,
ACT-0158,1157792,True,
ACT-0159,1159240,True,
ACT-0160,1159242,True,
ACT-0161,1159244,True,
ACT-0162,1159246,True,
ACT-0163,1159254,True,
ACT-0164,1159262,True,
ACT-0165,1160477,True,
ACT-0166,1160479,True,
ACT-0167,1160487,True,
ACT-0168,1161892,True,
ACT-0169,1161894,True,
ACT-0170,1163394,True,
ACT-0171,1164791,True,
ACT-0172,1164793,True,
ACT-0173,1166069,True,
ACT-0174,1166071,True,
ACT-0175,1167445,True,
ACT-0176,1167447,True,
ACT-0177,1167449,True,
ACT-0178,1168728,True,
ACT-0179,1168730,True,
ACT-0180,1168732,True,
ACT-0181,1168734,True,
ACT-0182,1170042,True,
ACT-0183,1170050,True,
ACT-0184,1170052,True,
ACT-0185,1170054,True,
ACT-0186,1171206,True,
ACT-0187,1171208,True,
ACT-0188,1172510,True,
ACT-0189,1172512,True,
ACT-0190,1172514,True,
ACT-0191,1172516,True,
ACT-0192,1173813,True,
ACT-0193,1173815,True,
ACT-0194,1173817,True,
ACT-0195,1173819,True,
ACT-0196,1175158,True,
ACT-0197,1175160,True,
ACT-0198,1175162,True,
ACT-0199,1175164,True,
ACT-0200,1175166,True,
ACT-0201,1175168,True,
ACT-0202,1175170,True,
ACT-0203,1176438,True,
ACT-0204,1176440,True,
ACT-0205,1176448,True,
ACT-0206,1176450,True,
ACT-0207,1177754,True,
ACT-0208,1177756,True,
ACT-0209,1177758,True,
ACT-0210,1178972,True,
ACT-0211,1180348,True,
ACT-0212,1180350,True,
ACT-0213,1180352,True,
ACT-0214,1181715,True,
ACT-0215,1181717,True,
ACT-0216,1181719,True,
ACT-0217,1183032,True,
ACT-0218,1183034,True,
ACT-0219,1183036,True,
ACT-0220,1183038,True,
ACT-0221,17669017,True,
ACT-0222,17669018,True,
ACT-0223,17669019,True,
ACT-0224,17669020,True,
ACT-0225,17669021,True,
ACT-0226,17669022,True,
ACT-0227,17669023,True,
ACT-0228,17669024,True,
ACT-0229,17669025,True,
ACT-0230,17669026,True,
ACT-0231,17669027,True,
ACT-0232,17669028,True,
ACT-0233,17669029,True,
ACT-0234,17669030,True,
ACT-0235,17669031,True,
ACT-0236,17669032,True,
ACT-0237,17669033,True,
ACT-0238,17669034,True,
ACT-0239,17669035,True,
ACT-0240,17669036,True,
ACT-0241,17669037,True,
ACT-0242,17669038,True,
ACT-0243,17669039,True,
ACT-0244,17669040,True,
ACT-0245,17669041,True,
ACT-0246,17669042,True,
ACT-0247,17669043,True,
ACT-0248,17669044,True,
ACT-0249,17669045,True,
ACT-0250,17669046,True,
ACT-0251,17669047,True,
ACT-0252,17669048,True,
ACT-0253,17669049,True,
ACT-0254,17669050,True,
ACT-0255,17669051,True,
ACT-0256,17669052,True,
ACT-9001,28327037,True,
ACT-9002,28327046,True,
