endpoint,fold,compound_id,group
log_selectivity,2,HC-8fb3de04c246252dfcc5f855,28
log_selectivity,2,HC-ef4a78258d4af256028e632a,35
log_selectivity,3,HC-c707580e4311a12b44cabf6a,4
log_selectivity,3,HC-bfbfe1ba07267c7467f4d5e3,13
log_selectivity,3,HC-2e0b0f25d59ec06ee68341fa,18
log_selectivity,3,HC-5126418e5255ba63322fe094,23
log_selectivity,3,HC-f09d8bf1beda158f1bd5b8f5,34
log_selectivity,3,HC-66a1ca61302e3d64e8ec01b6,45
log_selectivity,3,HC-4c60398359e068a84858cc32,47
log_selectivity,4,HC-7350858643b60d93c162c48a,1
log_selectivity,4,HC-2d0718c2679a9918f84b70f2,11
log_selectivity,4,HC-31dd71ce348836502f42e113,17
log_selectivity,4,HC-50f30cf983b46f1625a11fe5,22
log_selectivity,4,HC-4dd3ecbe79447d1307a0f09d,31
log_selectivity,4,HC-febdaa1aad2e1f92fe314828,44
log_selectivity,4,HC-93bbe4e621673d55f3fd1e2e,46
